iter	Passed	Remaining
679	2090	7133
680	2093	7128
681	2096	7126
682	2099	7121
683	2101	7115
684	2103	7109
685	2105	7103
686	2108	7099
687	2111	7095
688	2113	7089
689	2115	7083
690	2117	7077
691	2120	7073
692	2122	7067
693	2126	7064
694	2128	7060
695	2131	7054
696	2133	7049
697	2135	7044
698	2138	7039
699	2141	7035
700	2144	7031
701	2146	7026
702	2148	7020
703	2150	7014
704	2152	7008
705	2155	7003
706	2158	6999
707	2160	6995
708	2163	6989
709	2165	6983
710	2167	6977
711	2169	6971
712	2172	6967
713	2175	6964
714	2177	6958
715	2179	6952
716	2181	6946
717	2183	6941
718	2186	6935
719	2189	6932
720	2191	6928
721	2194	6923
722	2196	6918
723	2198	6912
724	2201	6906
725	2203	6903
726	2206	6899
727	2208	6893
728	2211	6888
729	2213	6882
730	2215	6876
731	2217	6871
732	2221	6869
733	2223	6865
734	2226	6861
735	2231	6862
736	2234	6860
737	2238	6861
738	2241	6856
739	2243	6851
740	2247	6851
741	2255	6863
742	2263	6875
743	2265	6869
744	2268	6867
745	2273	6869
746	2278	6871
747	2281	6867
748	2284	6864
749	2288	6864
750	2290	6858
751	2292	6853
752	2294	6847
753	2297	6843
754	2300	6840
755	2302	6835
756	2304	6829
757	2307	6824
758	2309	6818
759	2311	6812
760	2313	6807
761	2316	6803
762	2319	6799
763	2321	6794
764	2323	6789
765	2325	6783
766	2327	6777
767	2330	6771
768	2332	6766
769	2335	6762
770	2339	6764
771	2343	6762
772	2346	6760
773	2351	6762
774	2355	6761
775	2358	6760
776	2362	6758
777	2365	6757
778	2370	6757
779	2374	6758
780	2378	6757
781	2389	6776
782	2394	6778
783	2401	6786
784	2404	6784
785	2407	6780
786	2409	6774
787	2411	6769
788	2413	6764
789	2415	6758
790	2417	6752
791	2421	6750
792	2424	6747
793	2427	6743
794	2432	6745
795	2440	6758
796	2443	6755
797	2447	6752
798	2452	6754
799	2455	6752
800	2461	6758
801	2469	6768
802	2472	6764
803	2476	6764
804	2481	6766
805	2485	6766
806	2489	6764
807	2491	6758
808	2493	6752
809	2495	6746
810	2497	6742
811	2501	6740
812	2504	6736
813	2508	6736
814	2513	6737
815	2515	6732
816	2517	6726
817	2519	6719
818	2521	6714
819	2523	6708
820	2525	6701
821	2527	6696
822	2529	6691
823	2532	6686
824	2534	6680
825	2535	6674
826	2537	6668
827	2539	6662
828	2541	6656
829	2543	6650
830	2545	6643
831	2548	6639
832	2550	6634
833	2552	6628
834	2554	6623
835	2556	6617
836	2558	6611
837	2560	6605
838	2562	6599
839	2564	6595
840	2566	6589
841	2568	6584
842	2570	6578
843	2572	6572
844	2574	6566
845	2576	6560
846	2578	6554
847	2580	6548
848	2582	6543
849	2584	6538
850	2586	6532
851	2589	6527
852	2591	6521
853	2593	6516
854	2595	6511
855	2597	6505
856	2599	6500
857	2601	6494
858	2603	6488
859	2605	6484
860	2608	6479
861	2610	6474
862	2612	6468
863	2614	6463
864	2616	6457
865	2619	6455
866	2622	6452
867	2628	6456
868	2633	6458
869	2637	6458
870	2644	6464
871	2647	6462
872	2650	6458
873	2654	6457
874	2662	6466
875	2672	6480
876	2677	6480
877	2692	6506
878	2698	6510
879	2715	6542
880	2719	6542
881	2730	6556
882	2734	6555
883	2739	6557
884	2747	6565
885	2750	6562
886	2752	6558
887	2755	6554
888	2758	6550
889	2761	6547
890	2768	6553
891	2776	6561
892	2779	6557
893	2781	6553
894	2784	6548
895	2787	6545
896	2792	6546
897	2803	6561
898	2805	6556
899	2807	6551
900	2810	6546
901	2813	6544
902	2820	6549
903	2826	6553
904	2828	6548
905	2831	6543
906	2833	6539
907	2836	6534
908	2841	6535
909	2848	6542
910	2850	6537
911	2852	6531
912	2855	6527
913	2857	6522
914	2861	6520
915	2866	6520
916	2870	6519
917	2872	6513
918	2874	6509
919	2876	6503
920	2878	6498
921	2881	6495
922	2886	6494
923	2890	6495
924	2893	6490
925	2895	6484
926	2896	6477
927	2898	6472
928	2901	6467
929	2904	6464
930	2911	6471
931	2914	6466
932	2916	6461
933	2921	6461
934	2924	6458
935	2926	6453
936	2932	6456
937	2936	6455
938	2944	6461
939	2956	6479
940	2960	6476
941	2964	6476
942	2968	6474
943	2969	6468
944	2973	6466
945	2977	6464
946	2981	6463
947	2990	6473
948	2994	6471
949	2996	6465
950	2998	6459
951	3000	6455
952	3005	6456
953	3013	6463
954	3017	6461
955	3019	6455
956	3021	6449
957	3023	6444
958	3027	6442
959	3032	6444
960	3035	6441
961	3039	6438
962	3041	6432
963	3042	6426
964	3044	6421
965	3047	6416
966	3050	6414
967	3052	6408
968	3056	6405
969	3057	6398
970	3059	6392
971	3061	6386
972	3062	6380
973	3064	6373
974	3065	6367
975	3067	6360
976	3068	6354
977	3070	6347
978	3072	6341
979	3073	6335
980	3075	6329
981	3077	6323
982	3078	6317
983	3080	6310
984	3081	6304
985	3083	6298
986	3085	6292
987	3087	6286
988	3088	6280
989	3090	6274
990	3091	6267
991	3093	6262
992	3095	6257
993	3098	6253
994	3100	6247
995	3102	6241
996	3104	6237
997	3106	6232
998	3109	6228
999	3112	6224
1000	3117	6225
1001	3119	6220
1002	3123	6219
1003	3128	6218
1004	3131	6216
1005	3133	6210
1006	3134	6204
